"","geo_name","output","employees","investments","year","t"
"8362","Malta",250.4,3.11,157.2,2016,22
"8363","Hungary",970950,78.29,651783,2003,9
"8364","Ireland",3515.6,24.18,2098.2,2001,7
"8365","Germany",118697,644,76591,2013,19
"8366","United States",356200,1108500,222400,2016,22
"8367","Germany",136169,680,85555,2019,25
"8368","Ireland",2947.5,23.85,1759.1,1999,5
"8369","Italy",70567.9,307.4,48454.8,2016,22
"8370","Germany",136403,680,87195,2018,24
"8371","Italy",73794.8,306.5,51028.8,2017,23
"8372","Bulgaria",40.9,53.49,30.8,1995,1
"8373","United States",369000,1091569.2173913,225100,2020,26
"8374","Spain",38258,194.9,25601,2020,26
"8375","Ireland",3457.5,24.8,2063.6,2002,8
"8376","Latvia",106.1,6.43,69.7,1999,5
"8377","Belgium",15915.3,52.5,10813.3,2020,26
"8378","Denmark",34607.4,37.3,19563.5,1996,2
"8379","United States",353000,1087400,222500,2015,21
"8380","Croatia",1910.6,26.63,1235.7,2008,14
"8381","Hungary",1060217,72.48,733015,2004,10
"8382","Spain",41909,203.4,28750,2019,25
"8383","United States",384200,1146800,244000,2018,24
"8384","Ireland",3291.2,26.11,1964.2,2000,6
"8385","Portugal",4244,86.47,2859.4,1996,2
"8386","Poland",193962,456.8,137241,2019,25
"8387","Poland",182356,405.9,125031,2020,26
"8388","Sweden",337033,94,234860,2021,27
"8389","Malta",201.1,1.3,141.3,2021,27
"8390","Sweden",150351,105,100672,1995,1
"8391","Slovakia",9213.5,78.21,6340.8,2008,14
"8392","Slovakia",3859.5,79.49,3052.6,1997,3
"8393","Slovakia",6259.9,67.02,4400.4,2009,15
"8394","Malta",177.5,1.18,113,2019,25
"8395","Malta",169.3,1.26,111.3,2020,26
"8396","Poland",144526,384.8,98627,2015,21
"8397","Portugal",8293.6,84.61,6057.3,2011,17
"8398","Poland",127432,355.5,94062,2013,19
"8399","Slovenia",1037,37.62,728.6,1995,1
"8400","Japan",36574368,1437569.81201172,23282697,1999,5
"8401","Poland",175112,417.9,126151,2017,23
"8402","Poland",253266,390.1,179131,2021,27
"8403","Portugal",4787.7,90.32,3257.9,1997,3
"8404","Poland",187836,439.4,136599,2018,24
"8405","Portugal",4323.8,83.83,2955.7,1995,1
"8406","Poland",153041,405.6,102411,2016,22
"8407","Portugal",7861.7,80.83,5704.2,2012,18
"8408","Slovenia",5870.6,44.33,3983.4,2019,25
"8409","Poland",135126,371.1,94323,2014,20
"8410","Sweden",258105,95,175802,2016,22
"8411","Estonia",317.5,11.78,225.9,2001,7
"8412","Slovakia",6133.6,69.93,4083,2004,10
"8413","Estonia",176.4,7.8,123.8,1999,5
"8414","Netherlands",14944,116,9000,1995,1
"8415","Romania",27965.9,205,18951.6,2009,15
"8416","Slovakia",9161.5,79.59,6227.7,2016,22
"8417","Sweden",141646,106,93321,1996,2
"8418","Japan",36923485,1399800.59887695,23960143,2001,7
"8419","Slovakia",3954.8,77.98,3147.4,1998,4
"8420","Slovakia",8552.1,70.67,5883.3,2012,18
"8421","Estonia",263.7,9.84,188.1,2000,6
"8422","Sweden",292517,94,198722,2020,26
"8423","Slovakia",7733.6,65.44,5250,2010,16
"8424","Slovakia",10691.7,83.22,7612.3,2017,23
"8425","Slovenia",5969.5,42.93,4164.5,2018,24
"8426","Portugal",5189.6,92.81,3540.2,1998,4
"8427","Greece",10039.8,35.7,6865.6,2006,12
"8428","Slovakia",7715.9,69.68,5076.4,2006,12
"8429","Slovenia",1132,36.08,776,1996,2
"8430","Japan",38622210,1440731.93310547,24551706,2000,6
"8431","Netherlands",16176,119,10122,1997,3
"8432","Slovakia",8272.7,68.98,5861.9,2011,17
"8433","Slovakia",11676.5,85.83,8384,2018,24
"8434","Greece",6052,33.9,4283.2,2016,22
"8435","Portugal",5345.8,95.47,3582.3,1999,5
"8436","Portugal",7736.5,78.94,5537.9,2013,19
"8437","Slovenia",5229.8,43.3,3540.5,2020,26
"8438","Sweden",286090,96,200781,2017,23
"8439","Estonia",92,6.01,63.7,1995,1
"8440","Estonia",333.6,13.03,241.7,2002,8
"8441","Slovakia",6736.7,70.86,4428,2005,11
"8442","Bulgaria",2488.4,68.8,2063.9,2000,6
"8443","Netherlands",15086,118,9226,1996,2
"8444","Romania",36183.1,186.1,25514.7,2010,16
"8445","Bulgaria",2157.3,80.62,1777.5,1998,4
"8446","Sweden",156089,109,105729,1997,3
"8447","Japan",35991412,1346848.47851562,24080426,2002,8
"8448","Estonia",126.1,6.55,83.2,1996,2
"8449","Slovakia",3967.4,71.57,3153.1,1999,5
"8450","Slovakia",8331.9,69.44,5860,2013,19
"8451","Bulgaria",2556,63.03,2117.3,2001,7
"8452","Slovakia",9679.6,81.21,6797.2,2020,26
"8453","Greece",7666.4,35.2,5357.7,2018,24
"8454","Romania",41117.7,173.9,30997.3,2011,17
"8455","Bulgaria",2006.3,70.24,1651.3,1999,5
"8456","Sweden",156837,112,102872,1998,4
"8457","Greece",10770.2,36.3,6989.6,2007,13
"8458","Slovakia",8619.7,72.77,5604.7,2007,13
"8459","Slovenia",1308.8,34.16,904.9,1997,3
"8460","Netherlands",17222,120,10988,1998,4
"8461","Slovakia",10903.4,86.51,7878.2,2019,25
"8462","Greece",6675.9,34.5,4742,2017,23
"8463","Portugal",5986.9,94.96,4105.1,2000,6
"8464","Portugal",8913.2,92.71,6461.2,2007,13
"8465","Portugal",8018.3,81.06,5674.4,2014,20
"8466","Slovenia",6810.6,44.15,4910.4,2021,27
"8467","Sweden",312102,98,219312,2018,24
"8468","Slovenia",4362.1,36.14,3173.8,2012,18
"8469","Bulgaria",131.5,85.31,107.5,1996,2
"8470","Estonia",403.4,12.72,284.1,2003,9
"8471","Belgium",41947.9,72.4,33828.8,2021,27
"8472","Denmark",59850.3,40.36,38429.8,2018,24
"8473","Estonia",1083.7,13.66,807.8,2008,14
"8474","Portugal",6137,95.4,4222.9,2001,7
"8475","Portugal",8084.4,82.43,5786.7,2015,21
"8476","Slovakia",3169.9,74.92,2600.7,1995,1
"8477","Japan",35822173,1291559.64624023,23665940,2003,9
"8478","Estonia",164.9,6.65,113.7,1997,3
"8479","Slovakia",4634.9,71.47,3572.7,2000,6
"8480","Slovakia",9347.2,74,6577.4,2014,20
"8481","Bulgaria",2495.4,64.19,2022.8,2002,8
"8482","Slovakia",13574.3,79.07,9822,2021,27
"8483","Greece",7663.9,36.2,5459.4,2019,25
"8484","Romania",44199.8,174.9,30282.2,2012,18
"8485","Portugal",7312.3,87.11,5108.7,2009,15
"8486","Slovenia",5053.9,40.52,3446.9,2016,22
"8487","Sweden",157744,110,103080,1999,5
"8488","Slovenia",4586.9,36.12,3245.4,2014,20
"8489","Greece",11368.5,46.6,7940.5,2008,14
"8490","Slovenia",1482.8,33.86,1001.8,1998,4
"8491","Slovakia",9492.1,75.56,6599.6,2015,21
"8492","Denmark",60140.5,37.1,37653,2020,26
"8493","Netherlands",16979,122,10831,1999,5
"8494","Portugal",7889.1,86.08,5554.7,2010,16
"8495","Slovenia",5538.1,41.59,3853.9,2017,23
"8496","Sweden",179725,112,121683,2000,6
"8497","Portugal",9314.8,93.41,6702.5,2008,14
"8498","Greece",8512.7,45.8,5689.4,2009,15
"8499","Sweden",316329,98,221414,2019,25
"8500","Slovenia",4392.6,35.5,3147.2,2013,19
"8501","Bulgaria",1672.1,80.92,1378.1,1997,3
"8502","Estonia",475,13.14,344.5,2004,10
"8503","Bulgaria",85.2,84.83,69.9,1995,1
"8504","Denmark",61506.2,39.46,38337.1,2019,25
"8505","Estonia",653.9,12.65,440.3,2009,15
"8506","Portugal",6228.7,93.91,4247.1,2002,8
"8507","Portugal",8260.1,84.54,5708.1,2016,22
"8508","Slovakia",3350.6,81.12,2664.7,1996,2
"8509","Japan",40815606,1263833.85791016,28000366,2004,10
"8510","Estonia",222.1,6.98,157.5,1998,4
"8511","Slovakia",4477.4,76.22,3112.2,2001,7
"8512","Bulgaria",3039.3,65.76,2447.8,2003,9
"8513","United Kingdom",39578,524.92,23577,1995,1
"8514","Greece",7411.7,36.8,5220.1,2020,26
"8515","Romania",40178.6,166.5,27581.1,2013,19
"8516","Portugal",9421,88.2,6586.2,2017,23
"8517","Austria",12060.4,98.46,7051.4,1995,1
"8518","Slovenia",2270.6,38.49,1529.7,2001,7
"8519","Slovenia",4853.9,37,3361.6,2015,21
"8520","Slovenia",1659.3,35.07,1082.1,1999,5
"8521","Austria",29254.1,107.83,19895.7,2014,20
"8522","Denmark",67074.4,37.96,42421.2,2021,27
"8523","Netherlands",18867,123,11882,2000,6
"8524","Estonia",1503.7,14.97,1064.4,2018,24
"8525","Malta",68.4,1.14,44.4,2004,10
"8526","Italy",174885.9,675.2,131345.6,2007,13
"8527","Sweden",178168,114,118976,2001,7
"8528","Lithuania",1223.2,16.68,743.6,2018,24
"8529","Belgium",35422.1,102.8,27682.4,2006,12
"8530","Denmark",43574.5,43.64,24621.9,2003,9
"8531","Lithuania",921.1,15.03,537.5,2016,22
"8532","Greece",9096.8,45.4,6062.4,2010,16
"8533","Romania",14062.9,236.5,10704.9,2003,9
"8534","Poland",130271,370.4,94678,2011,17
"8535","Finland",13615,58.1,9896,2004,10
"8536","Estonia",624.9,13.9,464.9,2005,11
"8537","Estonia",1059.9,14.45,769,2012,18
"8538","Poland",89132,379.4,60938,2009,15
"8539","Netherlands",26110,101,17664,2015,21
"8540","Italy",109233.9,606.6,77693,2001,7
"8541","Estonia",870.2,13.17,638.4,2010,16
"8542","United Kingdom",39323,444.292,22073,2002,8
"8543","Portugal",6353.3,92.47,4430.1,2003,9
"8544","Poland",101334,345.7,72848,2007,13
"8545","Greece",7796.3,39.8,5266.6,2004,10
"8546","Romania",3013.2,299.9,2318.7,1997,3
"8547","Japan",46767434,1274658.46582031,32444750,2005,11
"8548","Estonia",825.5,15.08,611.3,2006,12
"8549","Hungary",1488117,104.33,1091359,2005,11
"8550","Slovakia",4654.1,70.77,3381.2,2002,8
"8551","Bulgaria",4861.7,65.29,4115.5,2004,10
"8552","United Kingdom",41880,538.379,25012,1996,2
"8553","Greece",8336.2,39.3,5988.8,2021,27
"8554","Romania",40062.6,168.3,27820.1,2014,20
"8555","Portugal",10182.4,92.28,7166.1,2018,24
"8556","Austria",11660.1,97.17,6559.8,1996,2
"8557","Slovenia",2396.6,38.05,1591.4,2002,8
"8558","Slovenia",2026,36.77,1366.8,2000,6
"8559","Austria",30344.6,109.18,20116,2015,21
"8560","France",84865.1,338.3,58723.5,2021,27
"8561","Netherlands",18405,124,11590,2001,7
"8562","Estonia",1585.5,14.48,1124.5,2019,25
"8563","Malta",78,1.17,50.4,2005,11
"8564","Italy",173759.2,675.6,130896.3,2008,14
"8565","Sweden",181804,111,122338,2002,8
"8566","Lithuania",1286.8,19.06,786.2,2019,25
"8567","Belgium",38801.7,104.2,30016.3,2007,13
"8568","Denmark",46796.5,42.59,27363.4,2004,10
"8569","Lithuania",1112.9,13.86,681.2,2017,23
"8570","Greece",8801.5,39.9,5944.6,2011,17
"8571","Romania",21127.8,224.1,16456.8,2004,10
"8572","Poland",133270,363.6,96019,2012,18
"8573","Finland",14713,59.9,10486,2005,11
"8574","Croatia",710.5,39.59,466.7,1995,1
"8575","Estonia",1102.5,14.45,793,2013,19
"8576","Poland",105943,360.9,77336,2010,16
"8577","Netherlands",27047,101,17968,2016,22
"8578","Italy",110684.2,610.2,78733,2002,8
"8579","Estonia",1091.3,14.32,819.3,2011,17
"8580","United Kingdom",39961,422.591,22155,2003,9
"8581","Portugal",7102.7,91.21,5027.3,2004,10
"8582","Poland",107430,376.1,79152,2008,14
"8583","Greece",9094.7,35,6166.8,2005,11
"8584","Romania",3380.3,269.3,2541.8,1998,4
"8585","Japan",51385464,1311743.26196289,36845309,2006,12
"8586","Estonia",1010.2,14.83,746.4,2007,13
"8587","Hungary",1782224,107.47,1316478,2006,12
"8588","Slovakia",5156.8,69.7,3553.6,2003,9
"8589","Bulgaria",5650.3,67.42,4783.7,2005,11
"8590","United Kingdom",43467,531.859,26929,1997,3
"8591","Spain",30692,295.3,20996,1995,1
"8592","Romania",39203.1,140.7,27037.5,2015,21
"8593","Portugal",10029,91.55,6946.9,2019,25
"8594","Austria",12835.2,97.68,7410,1997,3
"8595","Slovenia",2611.2,37.65,1734.7,2003,9
"8596","Japan",57104814,1320032.99926758,41962790,2007,13
"8597","United Kingdom",48522,337.449,27589,2014,20
"8598","Austria",29898.5,110.95,19494.2,2016,22
"8599","Bulgaria",8281.1,70.67,7206.8,2006,12
"8600","Netherlands",17967,122,11269,2002,8
"8601","Estonia",1445.5,14.69,1009.4,2020,26
"8602","Malta",75.4,1.17,48.1,2006,12
"8603","Italy",116786.7,643.8,83410.2,2009,15
"8604","Sweden",181396,108,123144,2003,9
"8605","Lithuania",1288,16.27,794,2020,26
"8606","Belgium",37237,105.6,29254.3,2008,14
"8607","Denmark",49288,41.86,30200.1,2005,11
"8608","Finland",18565,67.4,12933,2008,14
"8609","Greece",7441.7,36.8,5224.8,2012,18
"8610","Romania",22606.3,203,17261.7,2005,11
"8611","Austria",24938.4,102.4,16820.7,2010,16
"8612","Finland",16945,62.2,11921,2006,12
"8613","Croatia",714.4,39.57,473.9,1996,2
"8614","Estonia",1180,14.38,848.4,2014,20
"8615","Austria",29136.2,108.76,19954.9,2008,14
"8616","Netherlands",28896,102,19708,2017,23
"8617","Italy",115690.1,628.8,82284.9,2003,9
"8618","Denmark",45652.9,48.13,25945.3,2001,7
"8619","United Kingdom",41191,402.728,24632,2004,10
"8620","Portugal",7266.7,88.42,5184.7,2005,11
"8621","Lithuania",773.1,12.87,439.3,2012,18
"8622","Denmark",40590.1,47.38,22515.2,1999,5
"8623","Romania",3809.1,253.7,2899.1,1999,5
"8624","Austria",18680,99.7,11627,2004,10
"8625","Finland",11318,56.7,8062,2000,6
"8626","United States",391800,2286800.00000001,240300,1996,2
"8627","Japan",53349827,1209855.96923828,38832191,2014,20
"8628","Hungary",1845629,109.52,1333628,2007,13
"8629","Austria",15834.4,100.07,9517.3,2002,8
"8630","United Kingdom",51943,321.974,31389,2021,27
"8631","United Kingdom",43857,525.532,26971,1998,4
"8632","Spain",31969,308.9,21629,1996,2
"8633","Romania",38338.9,136.4,26302.3,2016,22
"8634","Portugal",9390.5,89.7,6410.4,2020,26
"8635","Austria",13811.9,98.61,8017.2,1998,4
"8636","Slovenia",2993,37.21,2064.6,2004,10
"8637","Japan",63204716,1321051.55273438,48163408,2008,14
"8638","United Kingdom",47359,348.103,27337,2015,21
"8639","Austria",33051.2,112.3,22226.9,2017,23
"8640","Bulgaria",9485.2,76.58,7975,2007,13
"8641","Netherlands",17824,117,11210,2003,9
"8642","Estonia",1857.9,15.33,1292.5,2021,27
"8643","Malta",84.7,1.18,56.9,2007,13
"8644","Italy",140719.4,607.3,104065,2010,16
"8645","Sweden",208842,106,145914,2004,10
"8646","Lithuania",1748.6,17.66,1141,2021,27
"8647","Belgium",25592.4,93.7,19877,2009,15
"8648","Denmark",54924.2,43.41,33909.1,2006,12
"8649","Finland",11650,59,8384,2009,15
"8650","Greece",6849.6,34.5,4770.5,2013,19
"8651","Romania",26904.6,203.7,20357.8,2006,12
"8652","Austria",29851.2,104.63,21025.3,2011,17
"8653","Finland",19336,64.8,13737,2007,13
"8654","Croatia",852.1,39.48,570.3,1997,3
"8655","Estonia",1175.9,14.79,829.4,2015,21
"8656","Austria",24010.6,104.78,15992.5,2009,15
"8657","Netherlands",30684,106,20749,2018,24
"8658","Italy",126006.1,619.9,91562.7,2004,10
"8659","Denmark",44560.9,45.85,24626.9,2002,8
"8660","United Kingdom",44773,383.46,26833,2005,11
"8661","Portugal",7927.1,91.23,5654,2006,12
"8662","Lithuania",764.7,13.63,429.9,2013,19
"8663","Denmark",44922.7,47.42,25851.4,2000,6
"8664","Romania",6120.5,241.7,4647.6,2000,6
"8665","Austria",21647.4,101.43,13935.5,2005,11
"8666","Finland",11255,59.3,7729,2001,7
"8667","United States",412000,2334600.00000001,253900,1997,3
"8668","Japan",50262448,1185506.79199219,35077067,2015,21
"8669","Hungary",1867492,98.44,1323979,2008,14
"8670","Austria",16466.3,99.58,9856.8,2003,9
"8671","United States",382400,2265100.00000001,235900,1995,1
"8672","United Kingdom",41525,510.77,24493,1999,5
"8673","Spain",35520,328.6,23895,1997,3
"8674","Romania",47766.7,147.5,32701.3,2017,23
"8675","Portugal",11862.3,89.44,8299,2021,27
"8676","Austria",13669.1,99.33,7850.2,1999,5
"8677","Finland",8462,43.2,5933,1995,1
"8678","Slovenia",3318.8,37.66,2291,2005,11
"8679","Japan",44123563,1226052.43652344,32273940,2009,15
"8680","United Kingdom",46736,335.262,26656,2016,22
"8681","Austria",35878.6,115.21,24519.5,2018,24
"8682","Bulgaria",9123.4,76.65,7641,2008,14
"8683","Netherlands",19790,113,12584,2004,10
"8684","Greece",3431.7,34.9,2204.9,1995,1
"8685","Malta",99.2,1.27,66.8,2008,14
"8686","Italy",154777.2,602.8,116601.2,2011,17
"8687","Sweden",232214,106,165163,2005,11
"8688","Czechia",599794,220.69,416606,2019,25
"8689","Belgium",31012.8,89.4,24717.9,2010,16
"8690","Denmark",62125,46.77,40576.9,2007,13
"8691","Finland",14591,54.7,11065,2010,16
"8692","Greece",6698.8,34.9,4839.1,2014,20
"8693","Romania",32870.7,216.2,24239.6,2007,13
"8694","Austria",30649.1,106.98,21545.3,2012,18
"8695","Netherlands",35266,106,24738,2021,27
"8696","Croatia",825,39.57,546.6,1998,4
"8697","Estonia",1218.7,15.13,836.7,2016,22
"8698","Netherlands",30892,108,20964,2019,25
"8699","Italy",135756,624.1,100117.4,2005,11
"8700","Czechia",486293,207.56,353528,2013,19
"8701","United Kingdom",48190,382.873,31424,2006,12
"8702","Lithuania",787.3,12.68,443.7,2014,20
"8703","United States",424800,2374400.00000001,256500,2000,6
"8704","Romania",8884.7,236.6,6648.5,2001,7
"8705","Austria",24646.2,103.73,15963.9,2006,12
"8706","Finland",10745,59.3,7420,2002,8
"8707","United States",421200,2381000.00000001,260500,1998,4
"8708","Japan",47586044,1195154.83740234,32139359,2016,22
"8709","Hungary",1289727,87.38,918332,2009,15
"8710","Spain",49129,396.6,32617,2000,6
"8711","Romania",45373,135.9,33611.6,2020,26
"8712","Slovenia",3909.8,36.37,2843.9,2010,16
"8713","United Kingdom",40874,491.2,23686,2000,6
"8714","Spain",38300,342.3,25652,1998,4
"8715","Romania",52620.6,149.6,36429.9,2018,24
"8716","Japan",51412764,1228260.54638672,37816274,2012,18
"8717","Romania",842.4,303.9,635.1,1995,1
"8718","Austria",14965.3,100.4,8957.2,2000,6
"8719","Finland",8524,45.5,5997,1996,2
"8720","Slovenia",3997.1,38.91,2916,2006,12
"8721","Japan",51089571,1212320.93798828,36635762,2010,16
"8722","United Kingdom",48134,345.285,27980,2017,23
"8723","Austria",34674.4,116.74,23495.5,2019,25
"8724","Bulgaria",6964.2,69.34,5525.3,2009,15
"8725","Netherlands",21179,111,13461,2005,11
"8726","Greece",3365.4,35.1,2442.3,1996,2
"8727","Malta",94.2,1.33,60.8,2009,15
"8728","Italy",141386.3,588.4,105477,2012,18
"8729","Sweden",265737,107,194694,2006,12
"8730","Czechia",556895,211.74,386430,2020,26
"8731","Belgium",36565.1,89.7,30005,2011,17
"8732","Denmark",64425.3,47.76,41524.7,2008,14
"8733","Finland",16295,56.8,12427,2011,17
"8734","Greece",6588.7,33.5,4711.5,2015,21
"8735","Romania",39148.2,211.3,28360.8,2008,14
"8736","Austria",29314.5,107.38,20142,2013,19
"8737","Poland",24793,285.4,16918,1995,1
"8738","Croatia",809.3,39.43,539.3,1999,5
"8739","Estonia",1427.1,15.23,1004.3,2017,23
"8740","Netherlands",28591,107,19270,2020,26
"8741","Italy",155004.5,651.5,115902.9,2006,12
"8742","Czechia",523942,213.81,369781,2014,20
"8743","United Kingdom",49099,373.862,32146,2007,13
"8744","Lithuania",895.1,14.06,540.1,2015,21
"8745","United States",389500,2247300.00000001,238300,2001,7
"8746","Romania",11259.5,256.2,8445.6,2002,8
"8747","Austria",27565.4,106.78,18267.7,2007,13
"8748","Finland",11554,58.9,8077,2003,9
"8749","United States",413900,2353400.00000001,251600,1999,5
"8750","Japan",52436421,1217211.69384766,36683509,2017,23
"8751","Hungary",1495526,87.05,1073066,2010,16
"8752","Spain",51442,411,34047,2001,7
"8753","Romania",65918.1,144.9,45360.4,2021,27
"8754","Slovenia",4488.2,36.22,3290.1,2011,17
"8755","United Kingdom",40544,466.625,23577,2001,7
"8756","Spain",42415,366.7,28304,1999,5
"8757","Romania",51919.5,146.7,36037.5,2019,25
"8758","Japan",50678210,1200344.83154297,36993312,2013,19
"8759","Romania",1442.3,308,1111.4,1996,2
"8760","Austria",16115.5,101.5,9548.7,2001,7
"8761","Finland",9239,51.8,6592,1997,3
"8762","Slovenia",4787.8,41.21,3495.8,2007,13
"8763","Japan",51895490,1217155.54345703,39548298,2011,17
"8764","United Kingdom",50559,359.412,29447,2018,24
"8765","Austria",30617.6,114.05,20501.6,2020,26
"8766","Bulgaria",8439.6,66.58,7029.9,2010,16
"8767","Netherlands",23133,110,14991,2006,12
"8768","Greece",3506,34.2,2500.9,1997,3
"8769","Malta",86.5,1.33,51.9,2010,16
"8770","Italy",135514.3,564.1,100600.2,2013,19
"8771","Sweden",301561,112,217907,2007,13
"8772","Czechia",693382,212.87,519615,2021,27
"8773","Belgium",33720.8,88.1,27504.1,2012,18
"8774","Denmark",47957.8,40.09,29259.4,2009,15
"8775","Cyprus",237.8,2.45,158,2002,8
"8776","Finland",15698,57.4,11905,2012,18
"8777","Ireland",2947,15.58,1853.5,2015,21
"8778","Latvia",1235.3,13.41,975.4,2012,18
"8779","Hungary",2866102,101.72,2002835,2019,25
"8780","Poland",28675,292.1,19766,1996,2
"8781","Croatia",832.6,40.56,549.3,2000,6
"8782","Lithuania",126.4,12.26,78.4,1997,3
"8783","Hungary",2501764,97.76,1777652,2017,23
"8784","Croatia",2594.2,35.81,1648.1,2021,27
"8785","Italy",134468,556.3,98382.6,2014,20
"8786","Czechia",535777,222.17,369555,2015,21
"8787","United Kingdom",49144,377.916,30637,2008,14
"8788","Cyprus",166.2,2.34,109.7,1996,2
"8789","Croatia",2115.1,36.24,1314.3,2019,25
"8790","Malta",63.9,1.13,36.9,2002,8
"8791","United States",386000,2057900.00000001,238200,2002,8
"8792","Ireland",2468.5,17.11,1625.7,2009,15
"8793","Latvia",778.7,13.76,568.1,2006,12
"8794","Malta",54.7,1.06,32.3,2000,6
"8795","Germany",229987,1076,157989,2007,13
"8796","Japan",54264604,1237999.94677734,38463309,2018,24
"8797","Hungary",1843071,90.28,1358347,2011,17
"8798","Spain",54511,415.3,36826,2002,8
"8799","Germany",177736,1049,117068,2005,11
"8800","Malta",58.8,1.12,35.6,1998,4
"8801","Belgium",23912.5,105.5,17281,2000,6
"8802","Lithuania",549.1,11.38,323.5,2010,16
"8803","Czechia",530037,215.01,386692,2007,13
"8804","Malta",119.8,1.17,80.2,2017,23
"8805","Italy",137638,611.1,98726.6,2020,26
"8806","Sweden",250426,99,172196,2014,20
"8807","Finland",9422,54.4,6554,1998,4
"8808","Slovenia",4873.6,42.5,3465.4,2008,14
"8809","Cyprus",419.8,4.1,295.6,2009,15
"8810","Germany",134027,1102,81808,1999,5
"8811","United Kingdom",50940,334.676,28933,2019,25
"8812","Latvia",973.2,11.17,629.6,2019,25
"8813","Austria",38861.2,115.52,27848.7,2021,27
"8814","Bulgaria",10461.3,64.4,8795.2,2011,17
"8815","Netherlands",25827,113,17101,2007,13
"8816","Greece",3777.5,35.9,2555.8,1998,4
"8817","Malta",98.7,1.3,63.9,2011,17
"8818","Czechia",549452,216.81,411033,2008,14
"8819","Sweden",298304,115,221380,2008,14
"8820","Germany",131566,1147,82484,1995,1
"8821","Belgium",30214.1,82.8,24058.4,2013,19
"8822","Denmark",46098.5,36.04,28986.3,2010,16
"8823","Cyprus",266,2.72,173.3,2003,9
"8824","Finland",14832,55.3,11043,2013,19
"8825","Ireland",3245.3,15.59,2083.2,2016,22
"8826","Latvia",936.1,13.6,756,2013,19
"8827","Hungary",2736738,94.86,1880546,2020,26
"8828","Poland",34863,302.6,24548,1997,3
"8829","Croatia",836.2,39.79,517.7,2001,7
"8830","Lithuania",162.1,12.36,100.7,1998,4
"8831","Hungary",2833063,103.39,2000134,2018,24
"8832","Hungary",440103,92.49,321680,1995,1
"8833","Italy",133753.5,551.8,97296.9,2015,21
"8834","Czechia",527904,222.07,359030,2016,22
"8835","United Kingdom",41814,363.695,27278,2009,15
"8836","Cyprus",192.8,2.39,127.3,1997,3
"8837","Croatia",2065.2,34.78,1234.7,2020,26
"8838","Malta",65.6,1.17,39.8,2003,9
"8839","United States",381900,1956300.00000001,234300,2003,9
"8840","Ireland",2053,14.93,1319.6,2010,16
"8841","Latvia",935.4,13.18,696.7,2007,13
"8842","Malta",54.2,1.05,31.1,2001,7
"8843","Germany",234141,1126,161610,2008,14
"8844","Japan",52629209,1246772.45898438,37172690,2019,25
"8845","Hungary",1766323,86.52,1280758,2012,18
"8846","Spain",56224,429.5,38536,2003,9
"8847","Germany",204311,1034,137368,2006,12
"8848","Malta",50.2,1.06,28.9,1999,5
"8849","Belgium",22907.4,104.4,16688.7,2001,7
"8850","Lithuania",756.4,12.94,446.7,2011,17
"8851","Germany",238328,1085,168478,2011,17
"8852","Malta",151.6,1.15,108,2018,24
"8853","Italy",194448.5,623,144776.3,2021,27
"8854","Sweden",255984,97,177203,2015,21
"8855","Finland",9338,55,6558,1999,5
"8856","Slovenia",3226.9,38.59,2242.2,2009,15
"8857","Cyprus",395.5,4.33,263.3,2010,16
"8858","Germany",149468,1103,93834,2000,6
"8859","United Kingdom",46510,332.669,25878,2020,26
"8860","Latvia",938.6,11.16,604.5,2020,26
"8861","Belgium",20193.6,110,14213.5,1995,1
"8862","Bulgaria",9956.6,62.98,8284.2,2012,18
"8863","Netherlands",26999,115,18136,2008,14
"8864","Greece",3997.2,37.2,2643.8,1999,5
"8865","Malta",92.8,1.11,63.3,2012,18
"8866","Czechia",382936,197.42,274306,2009,15
"8867","Sweden",211521,101,160650,2009,15
"8868","Germany",125395,1104,77831,1996,2
"8869","Belgium",29523.6,78.2,23359.8,2014,20
"8870","Denmark",52053.3,36.12,35786.9,2011,17
"8871","Cyprus",308.9,2.84,201.1,2004,10
"8872","Finland",15648,54.9,11943,2014,20
"8873","Ireland",3967,17.23,2608.1,2017,23
"8874","Latvia",758.1,11.51,543.9,2014,20
"8875","Hungary",3606630,96.48,2604992,2021,27
"8876","Poland",38306,312.9,26580,1998,4
"8877","Croatia",1029.4,38.94,625.9,2002,8
"8878","Lithuania",138.1,12.08,84.5,1999,5
"8879","United Kingdom",46485,337.863,27726,2012,18
"8880","Cyprus",222.1,2.53,145.8,2000,6
"8881","Hungary",497896,87.92,360997,1996,2
"8882","Italy",131914.5,558.2,93265.7,2016,22
"8883","Czechia",579793,227,407847,2017,23
"8884","United Kingdom",43726,334.151,27575,2010,16
"8885","Cyprus",214,2.45,140.7,1998,4
"8886","Denmark",51923.2,36.39,34386.7,2012,18
"8887","Cyprus",333,3.06,218.7,2005,11
"8888","United States",442100,1963900.00000001,272400,2004,10
"8889","Ireland",2093.4,13.76,1361.2,2011,17
"8890","Latvia",1017.3,15.15,748,2008,14
"8891","Spain",79246,441.6,59736,2006,12
"8892","Germany",167879,1068,112820,2009,15
"8893","Japan",46130558,1224565.62060547,31883608,2020,26
"8894","Hungary",1830236,85.33,1303994,2013,19
"8895","Croatia",1998.2,34.2,1158.5,2017,23
"8896","Czechia",500333,198.36,373597,2011,17
"8897","Belgium",22875.8,105,16350.7,2002,8
"8898","Croatia",1684.9,32.1,1018.6,2015,21
